TME_DAY_ID,TME_WK_DAY_NO,TME_MNTH_NO,TME_QTR_NO,TME_YR_NO,TME_DSPL_DT,TME_JUL_DT
1,4,1,1,1997,1997-01-01,35431
2,5,1,1,1997,1997-01-02,35432
3,6,1,1,1997,1997-01-03,35433
4,7,1,1,1997,1997-01-04,35434
5,1,1,1,1997,1997-01-05,35435
6,2,1,1,1997,1997-01-06,35436
7,3,1,1,1997,1997-01-07,35437
8,4,1,1,1997,1997-01-08,35438
9,5,1,1,1997,1997-01-09,35439
10,6,1,1,1997,1997-01-10,35440
11,7,1,1,1997,1997-01-11,35441
12,1,1,1,1997,1997-01-12,35442
13,2,1,1,1997,1997-01-13,35443
14,3,1,1,1997,1997-01-14,35444
15,4,1,1,1997,1997-01-15,35445
16,5,1,1,1997,1997-01-16,35446
17,6,1,1,1997,1997-01-17,35447
18,7,1,1,1997,1997-01-18,35448
19,1,1,1,1997,1997-01-19,35449
20,2,1,1,1997,1997-01-20,35450
21,3,1,1,1997,1997-01-21,35451
22,4,1,1,1997,1997-01-22,35452
23,5,1,1,1997,1997-01-23,35453
24,6,1,1,1997,1997-01-24,35454
25,7,1,1,1997,1997-01-25,35455
26,1,1,1,1997,1997-01-26,35456
27,2,1,1,1997,1997-01-27,35457
28,3,1,1,1997,1997-01-28,35458
29,4,1,1,1997,1997-01-29,35459
30,5,1,1,1997,1997-01-30,35460
31,6,1,1,1997,1997-01-31,35461
32,7,2,1,1997,1997-02-01,35462
33,1,2,1,1997,1997-02-02,35463
34,2,2,1,1997,1997-02-03,35464
35,3,2,1,1997,1997-02-04,35465
36,4,2,1,1997,1997-02-05,35466
37,5,2,1,1997,1997-02-06,35467
38,6,2,1,1997,1997-02-07,35468
39,7,2,1,1997,1997-02-08,35469
40,1,2,1,1997,1997-02-09,35470
41,2,2,1,1997,1997-02-10,35471
42,3,2,1,1997,1997-02-11,35472
43,4,2,1,1997,1997-02-12,35473
44,5,2,1,1997,1997-02-13,35474
45,6,2,1,1997,1997-02-14,35475
46,7,2,1,1997,1997-02-15,35476
47,1,2,1,1997,1997-02-16,35477
48,2,2,1,1997,1997-02-17,35478
49,3,2,1,1997,1997-02-18,35479
50,4,2,1,1997,1997-02-19,35480
51,5,2,1,1997,1997-02-20,35481
52,6,2,1,1997,1997-02-21,35482
53,7,2,1,1997,1997-02-22,35483
54,1,2,1,1997,1997-02-23,35484
55,2,2,1,1997,1997-02-24,35485
56,3,2,1,1997,1997-02-25,35486
57,4,2,1,1997,1997-02-26,35487
58,5,2,1,1997,1997-02-27,35488
59,6,2,1,1997,1997-02-28,35489
60,7,3,1,1997,1997-03-01,35490
61,1,3,1,1997,1997-03-02,35491
62,2,3,1,1997,1997-03-03,35492
63,3,3,1,1997,1997-03-04,35493
64,4,3,1,1997,1997-03-05,35494
65,5,3,1,1997,1997-03-06,35495
66,6,3,1,1997,1997-03-07,35496
67,7,3,1,1997,1997-03-08,35497
68,1,3,1,1997,1997-03-09,35498
69,2,3,1,1997,1997-03-10,35499
70,3,3,1,1997,1997-03-11,35500
71,4,3,1,1997,1997-03-12,35501
72,5,3,1,1997,1997-03-13,35502
73,6,3,1,1997,1997-03-14,35503
74,7,3,1,1997,1997-03-15,35504
75,1,3,1,1997,1997-03-16,35505
76,2,3,1,1997,1997-03-17,35506
